"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Agricoltura","CAGLIARI","CAGLIARI","BAP ( kg ) ","0.0515"
"Agricoltura","CAGLIARI","CAPOTERRA","BAP ( kg ) ","0.2725"
"Agricoltura","CAGLIARI","CASTIADAS","BAP ( kg ) ","0.0826"
"Agricoltura","CAGLIARI","DECIMOMANNU","BAP ( kg ) ","0.177"
"Agricoltura","CAGLIARI","DECIMOPUTZU","BAP ( kg ) ","0.186"
"Agricoltura","CAGLIARI","DOLIANOVA","BAP ( kg ) ","0.0147"
"Agricoltura","CAGLIARI","DOMUS DE MARIA","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","DONORI","BAP ( kg ) ","0.0196"
"Agricoltura","CAGLIARI","ELMAS","BAP ( kg ) ","0.015"
"Agricoltura","CAGLIARI","ESCALAPLANO","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","ESCOLCA","BAP ( kg ) ","0.06"
"Agricoltura","CAGLIARI","ESTERZILI","BAP ( kg ) ","0.0048"
"Agricoltura","CAGLIARI","GERGEI","BAP ( kg ) ","0.3445"
"Agricoltura","CAGLIARI","GESICO","BAP ( kg ) ","0.0768"
"Agricoltura","CAGLIARI","GONI","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","GUAMAGGIORE","BAP ( kg ) ","0.7027"
"Agricoltura","CAGLIARI","GUASILA","BAP ( kg ) ","1.5623"
"Agricoltura","CAGLIARI","ISILI","BAP ( kg ) ","0.0629"
"Agricoltura","CAGLIARI","MANDAS","BAP ( kg ) ","0.9086"
"Agricoltura","CAGLIARI","MARACALAGONIS","BAP ( kg ) ","0.0472"
"Agricoltura","CAGLIARI","MONASTIR","BAP ( kg ) ","0.2816"
"Agricoltura","CAGLIARI","MONSERRATO","BAP ( kg ) ","0.009"
"Agricoltura","CAGLIARI","MURAVERA","BAP ( kg ) ","0.4491"
"Agricoltura","CAGLIARI","NURAGUS","BAP ( kg ) ","0.0012"
"Agricoltura","CAGLIARI","NURALLAO","BAP ( kg ) ","0.0003"
"Agricoltura","CAGLIARI","NURAMINIS","BAP ( kg ) ","0.7132"
