"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIQUA","As ( kg ) ","0.002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIUS","As ( kg ) ","0.0032"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SINNAI","As ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SIURGUS DONIGALA","As ( kg ) ","0.0006"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SOLEMINIS","As ( kg ) ","0.0002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SUELLI","As ( kg ) ","0.0015"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","TEULADA","As ( kg ) ","0.0011"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","USSANA","As ( kg ) ","0.0008"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","UTA","As ( kg ) ","0.12"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VALLERMOSA","As ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLA SAN PIETRO","As ( kg ) ","0.0002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLANOVA TULO","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLAPUTZU","As ( kg ) ","0.0048"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASALTO","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASIMIUS","As ( kg ) ","0.0019"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASOR","As ( kg ) ","0.0052"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASPECIOSA","As ( kg ) ","0.6928"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ARMUNGIA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ASSEMINI","BAP ( kg ) ","0.0046"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BALLAO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BARRALI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BURCEI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAGLIARI","BAP ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAPOTERRA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CASTIADAS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOMANNU","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOPUTZU","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOLIANOVA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOMUS DE MARIA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DONORI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ELMAS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCALAPLANO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCOLCA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESTERZILI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GERGEI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GESICO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GONI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUAMAGGIORE","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUASILA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ISILI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MANDAS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MARACALAGONIS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONASTIR","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONSERRATO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MURAVERA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAGUS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURALLAO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAMINIS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURRI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORROLI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORTACESUS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PIMENTEL","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PULA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTU SANT'ELENA","BAP ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTUCCIU","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SADALI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAMATZAI","BAP ( kg ) ","0.0273"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN BASILIO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN NICOLO' GERREI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN SPERATE","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN VITO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SANT'ANDREA FRIUS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SARROCH","BAP ( kg ) ","0.0255"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SELARGIUS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SELEGAS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SENORBI'","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SERDIANA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SERRI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SESTU","BAP ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SETTIMO SAN PIETRO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SEULO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIQUA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIUS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SINNAI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SIURGUS DONIGALA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SOLEMINIS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SUELLI","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","TEULADA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","USSANA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","UTA","BAP ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VALLERMOSA","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLA SAN PIETRO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLANOVA TULO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLAPUTZU","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASALTO","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASIMIUS","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASOR","BAP ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASPECIOSA","BAP ( kg ) ","0.0005"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ARMUNGIA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ASSEMINI","BBF ( kg ) ","0.004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BALLAO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BARRALI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BURCEI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAGLIARI","BBF ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAPOTERRA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CASTIADAS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOMANNU","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOPUTZU","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOLIANOVA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOMUS DE MARIA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DONORI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ELMAS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCALAPLANO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCOLCA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESTERZILI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GERGEI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GESICO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GONI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUAMAGGIORE","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUASILA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ISILI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MANDAS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MARACALAGONIS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONASTIR","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONSERRATO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MURAVERA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAGUS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURALLAO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAMINIS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURRI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORROLI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORTACESUS","BBF ( kg ) ","0"
